season,gender,castaway,inspo,inspo,inspo,inspo,inspo,inspo,inspo
Season 21,,,,,,,,,
,Men,,,,,,,,
,,Fabio,Ozzy Lusth,,,,,,
,,Chase,JT Thomas,,,,,,
,,Sash,Tyson Apostol,,,,,,
,,Marty,Rob Mariano,Russell Hantz,,,,,
,,Tyrone,Tom Westman,,,,,,
,,Jimmy T.,Rupert Boneham,,,,,,
,,Jimmy J.,Tom Westman,,,,,,
,,Shannon,Russell Hantz,,,,,,
,Women,,,,,,,,
,,Jane,Rupert Boneham,,,,,,
,,Purple Kelly,Elisabeth Hasselbeck,,,,,,
,,Brenda,Ozzy Lusth,,,,,,
,,Alina,Stephenie LaGrossa,Ozzy Lusth,Amanda Kimmel,,,,
,,Jill,Tom Westman,Colby Donaldson,,,,,
,,Yve,Bob Crowley,Danni Boatwright,,,,,
,,Kelly B.,Christy Smith,Helen Glover,,,,,
Season 22,,,,,,,,,
,Men,,,,,,,,
,,Mike,Rudy Boesch,,,,,,
,,Ralph,Tom Buchanan,JT Thomas,,,,,
,,Steve,Tom Westman,,,,,,
,Women,,,,,,,,
,,Natalie,Natalie White,,,,,,
,,Andrea,JT Thomas,Parvati Shallow,,,,,
,,Julie,Ashley Massaro,,,,,,
,,Sarita,Courtney Yates,James Clement,,,,,
,,Stephanie,Parvati Shallow,Russell Hantz,,,,,
,,Krista,Natalie White,,,,,,
,,Francesca,Cirie Fields,Rob Mariano,,,,,
Season 23,,,,,,,,,
,Men,,,,,,,,
,,Jim,Ethan Zohn,,,,,,
,,Keith,Rob Mariano,,,,,,
,,Cochran,Rob Cesternino,Jonathan Penner,Yul Kwon,,,,
,,Brandon,Colby Donaldson,Jon Dalton,Russell Hantz,,,,
,,Rick,JT Thomas,,,,,,
,,Albert,JT Thomas,,,,,,
,Women,,,,,,,,
,,Semhar,Fabio Birza,,,,,,
,,Stacey,Vecepia Towery,,,,,,
,,Elyse,Brenda Lowe,Parvati Shallow,,,,,
,,Mikayla,Jane Bright,,,,,,
,,Christine,Stephenie LaGrossa,,,,,,
,,Dawn,Sandra Diaz-Twine,Parvati Shallow,Stephenie LaGrossa,,,,
,,Whitney,Stephenie LaGrossa,,,,,,
,,Edna,Mick Trimming,,,,,,
,,Sophie,Russell Hantz,Stephen Fishbach,Stephenie LaGrossa,Sue Hawk,,,
Season 24,,,,,,,,,
,Men,,,,,,,,
,,Colton,Parvati Shallow,Corinne Kaplan,JT Thomas,,,,
,,Jonas,Fabio Birza,,,,,,
,,Michael,Ethan Zohn,Rupert Boneham,,,,,
,,Jay,Colby Donaldson,Rupert Boneham,,,,,
,,Leif,Fabio Birza,,,,,,
,,Tarzan,Coach Wade,,,,,,
,Women,,,,,,,,
,,Kourtney,Fabio Birza,Courtney Yates,,,,,
,,Nina,Stephenie LaGrossa,Sue Hawk,,,,,
,,Monica,Tina Wesson,,,,,,
,,Kat,Andrea Boehlke,,,,,,
,,Alicia,Jenna Morasca,,,,,,
,,Christina,Kristina Kell,Francesca Hogi,,,,,
,,Sabrina,Sandra Diaz-Twine,,,,,,
,,Kim,Stephenie LaGrossa,Elisabeth Hasselbeck,Amanda Kimmel,,,,
Season 25,,,,,,,,,
,Men,,,,,,,,
,,Zane,Brandon Hantz,,,,,,
,,Jeff,Colby Donaldson,,,,,,
,,Artis,Rudy Boesch,Rupert Boneham,James Clement,,,,
,,Pete,Russell Hantz,,,,,,
,,Carter,Ozzy Lusth,Erik Reichenbach,Fabio Birza,,,,
,,Malcolm,Russell Hantz,,,,,,
,Women,,,,,,,,
,,Roxy,Brandon Hantz,,,,,,
,,Angie,Fabio Birza,,,,,,
,,Dana,Rob Mariano,,,,,,
,,Katie,Danni Boatwright,,,,,,
,,Abi-Maria,Parvati Shallow,,,,,,
,,Lisa,Colby Donaldson,,,,,,
,,Denise,Stephenie LaGrossa,,,,,,
Season 26,,,,,,,,,
,Men,,,,,,,,
,,Eddie,Rob Mariano,,,,,,
,,Matt,Rupert Boneham,Lex van den Berghe,,,,,
,,Michael,Cirie Fields,Rob Cesternino,,,,,
,,Reynold,Colby Donaldson,Parvati Shallow,Todd Herzog,,,,
,,Shamar,Rupert Boneham,,,,,,
,Women,,,,,,,,
,,Allie,Jenna Morasca,,,,,,
,,Hope,Andrea Boehlke,Brenda Lowe,Parvati Shallow,,,,
,,Julia,Kim Spradlin-Wolfe,,,,,,
,,Laura,Brenda Lowe,Parvati Shallow,Jenna Morasca,,,,
,,Sherri,Parvati Shallow,,,,,,
Season 27,,,,,,,,,
,Men,,,,,,,,
,,Brad,Ozzy Lusth,Colby Donaldson,Michael Skupin,,,,
